IND_DESC,LOCAL_TIV,LOCAL_CURRENCY,REPORTDATE,PROJ_NAME,PROJECT_TYPE,PJ_SIC_NAM,SICPRODUCT,OWNER_NAME,P_STATUS_D,P_SIC_DESC,PLANT_NAME,P_ULT_NAME,PLANT_ADDR,PLANT_CITY,PLANT_ST,PL_ST_NAME,PL_COUNTRY,PLANT_ZIP,PL_PHONE,LONGITUDE,LATITUDE,PEC_ZONE,MARKET_REG,WORLD_ID,COUNTY_ID,COUNTY_DES,ACT_DESC,COMPLETION,CO_PRECISN,SCOPE,SCHEDULE,PLANT_ID,PL_PARENT,PARENTNAME,PRJ_QCDATE,CAP_DESC,REPORT_LINK,PROJ_PROB
Industrial Manufacturing,1000000,USD,30-Oct-24,FORT WAYNE NONWOVEN FABRICS MANUFACTURING PLANT FY25 MAINTENANCE PROGRAM,Maintenance Program,Nonwoven Fabrics,"Nonwoven fabrics, except felt-mfg",TWE Nonwovens US LLC,Operational,Nonwoven Fabrics,Fort Wayne Nonwoven Fabrics,TWE GmbH & Co. KG,9403 Avionics Drive,Fort Wayne,IN,Indiana,U.S.A.,468099632,+1 2607470990,-85.194372,40.997538,IN*01,Great Lakes U.S.A.,1,,Allen,Maintenance Programs,31-Dec-25,MONTH,"TWE Nonwovens US LLC performs Maintenance Planning and Scheduling for a Nonwoven Fabric Manufacturing Plant FY25 Maintenance Program. NORMAL INSPECTION/REPAIR TO: (258,000 sqft) Nonwoven Fabrics Manufacturing Plant plus Supporting Equipment and Systems during Weekly Maintenance Shutdowns. REQUIRES MRO TO: Thermobonding Equipment, Needle-Punching Equipment, Lamentation Equipment, Die-Cutting Equipment, Hoppers, Rollers, Dryers, Compressors (Air), Motors (VS), Packaging Equipment, Material Handling Equipment, MCC plus Controls (PLC). ENVIRONMENTAL MRO: (A) Ventilation and Exhaust System, Ducting, Fans.","TWE Nonwovens US LLC continues with Maintenance Planning and Scheduling through 4Q24 (Dec). Upon Finalization of Plans and Completion of Scheduling, TWE Nonwovens US LLC releases Equipment RFQs and Bid Documents plus Reviews and Selects Subcontractors 1Q25 (Jan). The Nonwoven Fabrics Manufacturing Plant FY25 Maintenance Program is Scheduled to Kick-Off 1Q25 (Feb). Estimated Project Completion 4Q25 (Dec).",3146181,1069635,TWE Nonwovens US LLC,23-May-25,,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=301021529,High (81-99%)
Industrial Manufacturing,1000000,USD,29-Oct-24,TERRE HAUTE PLASTIC FILM MFG PLANT ANNUAL 3Q26 MAINTENANCE SHUTDOWN,"Maintenance Event (Outages, Turnarounds, Shutdowns)",Unsupported Plastics Film & Sheet,"Polyethylene film and sheet, unsupported-mfg",Fitesa North America,Operational,Unsupported Plastics Film & Sheet,Terre Haute Plastic Films,Evora SA,3400 Fort Harrison Road,Terre Haute,IN,Indiana,U.S.A.,478041711,+1 8124660266,-87.367321,39.507482,IN*02,Great Lakes U.S.A.,1,,Vigo,Scheduled Maintenance,29-Jul-26,MONTH,"Fitesa North America performs Maintenance Plans and Scheduling for a Plastic Film Manufacturing Plant Annual 3Q26  Maintenance Shutdown. NORMAL INSPECTION/REPAIR TO: 160,000 sqft Plastic Film Manufacturing Plant plus Supporting Equipment and Systems during a 1-week Maintenance Shutdown. REQUIRES MRO TO: Film Lines, Extruders, Auxiliary Equipment, Hoists, Heaters, Trimmers, Winders, Compressor (Air), Heating and Cooling Equipment, Mixing and Blending Equipment, Rollers, Temperature Sensors, Packaging Equipment, Motors (VS), Drives, Blowers, Material Handling Equipment, Inspection and Test Equipment, MCC plus Controls (PLC). ENVIRONMENTAL MRO: (A) Ventilation and Exhaust System, Ducting, Fans.","Fitesa North America continues with Maintenance Planning and Scheduling through 2Q26 (May). Upon Finalization of Plans and Completion of Scheduling, Fitesa North America releases Equipment RFQs and Bid Documents plus reviews and selects Subcontractors as needed 2Q26 (Jun). The 1-week Annual 3Q26 Maintenance Shutdown is tentatively Scheduled to Kick-Off 3Q26 (Jul). Project Completion 3Q26 (Jul).",3011669,1000621,Fitesa North America,23-May-25,,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=301021119,Medium (70-80%)
Industrial Manufacturing,1000000,USD,14-Oct-24,EVANSVILLE METAL CLOSURES MANUFACTURING PLANT ANNUAL 4Q25 MAINTENANCE SHUTDOWN,"Maintenance Event (Outages, Turnarounds, Shutdowns)",Metal Crowns & Closures,"Bottle caps and tops, stamped metal-mfg",Silgan Closures,Operational,Metal Crowns & Closures,Evansville Metal Closures,Silgan Holdings Incorporated,2201 West Maryland Street,Evansville,IN,Indiana,U.S.A.,477125365,+1 8124256221,-87.597419,37.987052,IN*03,Great Lakes U.S.A.,1,,Vanderburgh,Scheduled Maintenance,31-Dec-25,MONTH,"Silgan White Cap Americas performs Maintenance Planning and Scheduling for a Metal Closures Manufacturing Plant 4Q25 Annual Maintenance Shutdown. NORMAL INSPECTION/REPAIR TO: 186,000 sqft Metal Caps and Closures Manufacturing Plant plus Supporting Equipment and Systems during a 2-Week Maintenance Shutdown. REQUIRES MRO TO: Punch Presses, Dies, Scroll Shears, Metal Lithography Line, Metal Cap Production Lines, Coating Lines, UV Printing Lines, Ovens, Feeders, Tooling/Forming Equipment, Compressor (Air), Motors (VS), Drives, Material Handling Equipment, MCC plus Controls (PLC). ENVIRONMENTAL MRO: (A) Ventilation and Exhaust System, Ducts, Fans.","Silgan White Cap Americas continues with Maintenance Planning and Scheduling through 4Q25 (Oct). Upon Finalization of Plans and Completion of Scheduling, Silgan White Cap Americas releases Equipment RFQs and Bid Documents plus Review and Selects Subcontractors 4Q25 (Nov). The Metal Closures Manufacturing Plant Annual 4Q25 Maintenance Shutdown is Scheduled to Kick-Off 4Q25 (Dec). Estimated Project Completion 4Q25 (Dec).",1079759,1045609,Silgan Closures,23-May-25,,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=301016518,Medium (70-80%)
Industrial Manufacturing,1000000,USD,8-Oct-24,ELKHART LAMINATED PANELS MANUFACTURING PLANT ANNUAL 4Q25 MAINTENANCE SHUTDOWN,"Maintenance Event (Outages, Turnarounds, Shutdowns)",Millwork,Millwork products-mfg,Genesis Products Incorporated,Operational,Millwork,Elkhart Laminated Panels,Genesis Products Incorporated,2608 Almac Court,Elkhart,IN,Indiana,U.S.A.,465147628,+1 5742668292,-85.928492,41.720644,IN*01,Great Lakes U.S.A.,1,,Elkhart,Scheduled Maintenance,25-Dec-25,MONTH,"Genesis Products Incorporated performs Maintenance Planning and Scheduling for a Laminated Panels Manufacturing Plant 4Q25 Maintenance Shutdown. NORMAL INSPECTION/REPAIR TO: (71,000 sqft) Laminated Panels Manufacturing Facility plus Supporting Equipment and Systems during a 1-Week Maintenance Shutdown. REQUIRES MRO TO: Sanders, Baghouses, Harlin Wood Laminator, Hot Melt Wood Laminator, Natural Gas-Fired Building Heater, Natural Gas-Fired Space Heaters, Woodworking Equipment, CNC Machining Centers, CNC Routers, Heating Equipment, Superfici Compact Reciprocating Spraying Station, Curing Oven, Material Handling Equipment, Inspection and Test Equipment, Motors (VS), MCC plus Controls. ENVIRONMENTAL MRO: (A) Ventilation and Exhaust System, Ducting, Fans.","Genesis Products Incorporated continues with Maintenance Planning and Scheduling through 4Q25 (Oct). Upon Finalization of Plans and Completion of Scheduling, Genesis Products Incorporated Releases Equipment RFQs and Bid Documents plus Reviews and Selects Subcontractors 4Q25 (Nov). The 1-Week Annual Laminated Panels Manufacturing Plant Maintenance Shutdown is Scheduled to Kick-Off 4Q25 (Dec). Estimated Project Completion 4Q25 (Dec).",3243515,3216590,Genesis Products Incorporated,23-May-25,,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=301014809,Medium (70-80%)
Industrial Manufacturing,1000000,USD,30-Jan-24,BUTLER MOLDED PLASTIC PRODUCTS MANUFACTURING PLANT FY25 MAINTENANCE PROGRAM,Maintenance Program,Plastic Foam Products,Foamed plastics products-mfg,Dekalb Molded Plastics Incorporated,Operational,Plastic Foam Products,Butler Molded Plastic Products,Dekalb Molded Plastics Incorporated,550 West Main Street,Butler,IN,Indiana,U.S.A.,467211349,+1 2608682105,-84.889351,41.428203,IN*01,Great Lakes U.S.A.,1,,De Kalb,Maintenance Programs,31-Dec-25,YEAR,"Dekalb Molded Plastics Incorporated performs Maintenance Planning and Scheduling for a Molded Plastic Products Manufacturing Plant FY25 Maintenance Program. NORMAL INSPECTION/REPAIR TO: (80,000 sqft) Molded Plastic Products Manufacturing Facility plus Supporting Equipment and Systems during Maintenance Shutdowns performed throughout the Year as Necessary. REQUIRES MRO TO: Injection Molding Machines (300-750 Ton), Clamping Units, Feed System, Gluing Systems, Hot Plate Welders, Ultrasonic Welding Equipment, RF Welding Equipment, Paint Lines, Conveyor System, Infrared Drying Ovens, Storage Silos, Overhead Cranes, Compressors (Air), Material Handling Equipment, Packaging Equipment, MCC plus Controls (PLC). ENVIRONMENTAL MRO: (A) Ventilation and Exhaust System, Ducting, Fans.","Dekalb Molded Plastics Incorporated continues with Maintenance Planning and Scheduling through 4Q24 (Dec). Upon Finalization of Plans and Completion of Scheduling, Dekalb Molded Plastics Incorporated releases Equipment RFQs and Bid Documents plus Reviews and Selects Subcontractors 1Q25 (Jan) - 4Q25. The Molded Plastic Products Manufacturing Plant Maintenance Program is Scheduled to Kick-Off 1Q25 (Feb). Estimated Project Completion 4Q25 (Dec).",1049797,1067652,Dekalb Molded Plastics Incorporated,23-May-25,,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=300949976,High (81-99%)
Industrial Manufacturing,1000000,USD,30-Jan-24,FORT WAYNE AGRICULTURAL TANKS AND PUMPS MFG PLANT FY25 MAINTENANCE PROGRAM,Maintenance Program,Farm Machinery & Equipment,"Spreaders, fertilizer-mfg",Murray Equipment Incorporated,Operational,Farm Machinery & Equipment,Fort Wayne Agricultural Tanks and Pumps,Murray Equipment Incorporated,2515 Charleston Place,Fort Wayne,IN,Indiana,U.S.A.,468081385,+1 2604840382,-85.174913,41.107975,IN*01,Great Lakes U.S.A.,1,,Allen,Maintenance Programs,31-Dec-25,YEAR,"Murray Equipment Incorporated performs Maintenance Planning and Scheduling for an Agricultural Tanks and Pumps Manufacturing Plant FY25 Maintenance Program. NORMAL INSPECTION/REPAIR TO: (85,000 sqft) Agricultural Tanks and Pumps Manufacturing Facility plus Supporting Equipment and Systems during Weekly Maintenance Shutdowns performed throughout the Year. REQUIRES MRO TO: Assembly Lines & Tools, Drill Presses, Furnace, Milling Machines, Welding Equipment, Finishing Equipment, Automation & Robotics, Material Handling Equipment, Testing & Inspection Equipment, Motors (VS), Drives, Conveyor System, Lathes, Grinders, Chiller, Compressors (Air), Packaging Equipment, Switchgear plus Controls (PLC). ENVIRONMENTAL MRO: (A) Ventilation and Exhaust System, Fans.","Murray Equipment Incorporated continues with Maintenance Planning and Scheduling through 4Q24 (Dec). Upon Finalization of Plans and Completion of Scheduling, Murray Equipment Incorporated releases Equipment RFQs and Bid Documents plus Reviews and Selects Subcontractors as Necessary 1Q25 (Jan) - 4Q25. The Agricultural Tanks and Pumps Manufacturing Plant Maintenance Program is Scheduled to Kick-Off 1Q25 (Feb). Estimated Project Completion 4Q25 (Dec).",3387147,3327763,Murray Equipment Incorporated,23-May-25,,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=300949979,High (81-99%)
Industrial Manufacturing,1000000,USD,22-Dec-23,BLOOMINGTON PLASTIC INJECTION MOLDED PRODUCTS PLANT FY26 MAINTENANCE PROGRAM,Maintenance Program,Plastic Products,"Molding of plastics for the trade, except foam-mfg",Phoenix Closures Incorporated,Operational,Plastic Products,Bloomington Plastic Closures,Phoenix Closures Incorporated,1425 South Curry Pike,Bloomington,IN,Indiana,U.S.A.,474032708,+1 7656303800,-86.5804984,39.1551509,IN*02,Great Lakes U.S.A.,1,,Monroe,Maintenance Programs,31-Dec-26,MONTH,"Phoenix Closures Incorporated performs Maintenance Planning and Scheduling for a Plastic Injection Molded Products Plant FY26 Maintenance Program. NORMAL INSPECTION/REPAIR TO: Approximately 450,000 sqft Plastic Injection Molded Products Plant plus Supporting Equipment & Systems During (Weekly) Machine-by-Machine Preventative Maintenance Shutdowns. REQUIRES MRO TO: Injection Molding Machines, Surface Grinders, Feed System, Molds, Dies, Clamping Units, Conveyors, Material Handling Equipment, Packaging Equipment, Inspection and Test Equipment, Hoppers, Silos, Compressor (Air), Motors (VS), MCC plus Controls (PLC). ENVIRONMENTAL MRO: (A) Ventilation and Exhaust System, Ducting, Fans.","Phoenix Closures Incorporated Continues with Maintenance Planning and Scheduling Through 4Q25 (Dec). Upon Finalization of Plans and Completion of Scheduling, Phoenix Closures Incorporated Releases Equipment RFQ's and Bid Documents Plus Reviews and Selects Subcontractors 1Q26 (Jan)- 4Q26 (Dec). The Plant Maintenance Program is Scheduled to Kick-Off 1Q26 (Feb). Project Completion 4Q26 (Dec).",3564629,3019333,Phoenix Closures Incorporated,23-May-25,,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=300940818,Medium (70-80%)
Industrial Manufacturing,1000000,USD,22-Dec-23,BLOOMINGTON PLASTIC INJECTION MOLDED PRODUCTS PLANT FY25 MAINTENANCE PROGRAM,Maintenance Program,Plastic Products,"Molding of plastics for the trade, except foam-mfg",Phoenix Closures Incorporated,Operational,Plastic Products,Bloomington Plastic Closures,Phoenix Closures Incorporated,1425 South Curry Pike,Bloomington,IN,Indiana,U.S.A.,474032708,+1 7656303800,-86.5804984,39.1551509,IN*02,Great Lakes U.S.A.,1,,Monroe,Maintenance Programs,31-Dec-25,MONTH,"Phoenix Closures Incorporated performs Maintenance Planning and Scheduling for a Plastic Injection Molded Products Plant FY25 Maintenance Program. NORMAL INSPECTION/REPAIR TO: Approximately 450,000 sqft Plastic Injection Molded Products Plant plus Supporting Equipment & Systems During (Weekly) Machine-by-Machine Preventative Maintenance Shutdowns. REQUIRES MRO TO: Injection Molding Machines, Surface Grinders, Feed System, Molds, Dies, Clamping Units, Conveyors, Material Handling Equipment, Packaging Equipment, Inspection and Test Equipment, Hoppers, Silos, Compressor (Air), Motors (VS), MCC plus Controls (PLC). ENVIRONMENTAL MRO: (A) Ventilation and Exhaust System, Ducting, Fans.","Phoenix Closures Incorporated Continues with Maintenance Planning and Scheduling Through 4Q24 (Dec). Upon Finalization of Plans and Completion of Scheduling, Phoenix Closures Incorporated Releases Equipment RFQ's and Bid Documents Plus Reviews and Selects Subcontractors 1Q25 (Jan)- 4Q25 (Dec). The Plant Maintenance Program is Scheduled to Kick-Off 1Q25 (Feb). Project Completion 4Q25 (Dec).",3564629,3019333,Phoenix Closures Incorporated,23-May-25,,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=300940809,High (81-99%)
Industrial Manufacturing,200000000,USD,20-May-25,WISCONSIN RAPIDS DATA CENTER CAMPUS BUILDING EXPANSION 4,Plant Expansion,Computer Processing & Processing Services,Hyperscale Data Center,Digital Power Optimization,Planned,Computer Processing & Processing Services,Wisconsin Rapids Data Center,Digital Power Optimization,South of East Riverview Expressway West,Wisconsin Rapids,WI,Wisconsin,U.S.A.,54494,+1 9174944151,-89.802731,44.37589,WI*02,Great Lakes U.S.A.,1,,Wood,Market Analysis,30-Jun-28,QUARTER,"Digital Power Optimization (Owner) with Stantec (Design Engineering) performs Market Analysis for an AI Data Center Campus Expansion 4. DETAILS: On a 15-Acre Site, As part of an, Eight Building Campus, Construct a Building 4 (Size Undetermined), plus Install Supporting Equipment & Systems to Support Data Center Campus Operations in the Region. REQUIRES: Building, Lighting, Diesel Generators, Uninterruptible Power Supply (UPS), Racks, Turbo High-Performing Cooling Systems, Water Supply System, Heat Exchangers, Server Room/Computer Equipment Room, Mechanical Equipment Room, Telecommunications Cabling Systems, Information Technology (IT) Equipment, Chillers, Cooling Towers, Substation, Temperature Controls, Fans, Switchgear, Transformers, Breakers, Substations, Back-Up Servers, Batteries, Fire Protection Systems, Storage Devices, Cables, Fire Suppression System, Network Connectivity, MCC plus Controls (PLC). ENVIRONMENTAL: (A) Ventilation and Exhaust System.","Digital Power Optimization with Stantec continues with Market Analysis through 1Q27 (Feb). Upon Final Site Selection & Permit Approval, Selected G/C releases Equipment RFQ's & Bid Documents plus Reviews & Selects Subcontractors 2Q27 (May). Proposed Construction Kick-Off 2Q27 (Jun). Expected Project Completion 2Q28 (Jun).",3639882,3520599,Digital Power Optimization,20-May-25,Data Center Load,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=301077096,Low (0-69%)
Industrial Manufacturing,200000000,USD,20-May-25,WISCONSIN RAPIDS DATA CENTER CAMPUS BUILDING  EXPANSION 2,Plant Expansion,Computer Processing & Processing Services,Hyperscale Data Center,Digital Power Optimization,Planned,Computer Processing & Processing Services,Wisconsin Rapids Data Center,Digital Power Optimization,South of East Riverview Expressway West,Wisconsin Rapids,WI,Wisconsin,U.S.A.,54494,+1 9174944151,-89.802731,44.37589,WI*02,Great Lakes U.S.A.,1,,Wood,Market Analysis,30-Jun-27,QUARTER,"Digital Power Optimization (Owner) with Stantec (Design Engineering) performs Market Analysis for an AI Data Center Campus Expansion 2. DETAILS: On a 15-Acre Site, As part of an, Eight Building Campus, Construct a Building 2 (Size Undetermined), plus Install Supporting Equipment & Systems to Support Data Center Campus Operations in the Region. REQUIRES: Building, Lighting, Diesel Generators, Uninterruptible Power Supply (UPS), Racks, Turbo High-Performing Cooling Systems, Water Supply System, Heat Exchangers, Server Room/Computer Equipment Room, Mechanical Equipment Room, Telecommunications Cabling Systems, Information Technology (IT) Equipment, Chillers, Cooling Towers, Substation, Temperature Controls, Fans, Switchgear, Transformers, Breakers, Substations, Back-Up Servers, Batteries, Fire Protection Systems, Storage Devices, Cables, Fire Suppression System, Network Connectivity, MCC plus Controls (PLC). ENVIRONMENTAL: (A) Ventilation and Exhaust System, Ducting, Fans.","Digital Power Optimization with Stantec continues with Market Analysis through 1Q26 (Feb). Upon Final Site Selection & Permit Approval, Selected G/C releases Equipment RFQ's & Bid Documents plus Reviews & Selects Subcontractors 2Q26 (May). Proposed Construction Kick-Off 2Q26 (Jun). Expected Project Completion 2Q27 (Jun).",3639882,3520599,Digital Power Optimization,20-May-25,Data Center Load,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=301077088,Low (0-69%)
Metals & Minerals,1500000,USD,22-May-25,LOUISVILLE ALUMINUM FOIL #1 2026 MAINTENANCE PROGRAM,Maintenance Program,"Aluminum Sheet, Plate & Foil","Foil, plain aluminum-mfg",Reynolds Consumer Products LLC,Operational,"Aluminum Sheet, Plate & Foil",Louisville Aluminum Foil #1,Reynolds Group Holdings Limited,2827 Hale Avenue,Louisville,KY,Kentucky,U.S.A.,402111260,+1 5027754300,-85.801819,38.240322,KY*02,Great Lakes U.S.A.,1,,Jefferson,Maintenance Programs,15-Dec-26,YEAR,"Reynolds Consumer Products LLC performs Maintenance Planning and Scheduling for Aluminum Foil #1 2026 Maintenance Program. NORMAL INSPECTIONS/REPAIRS TO: Aluminum Foil Manufacturing Plant during Weekly/Bi-Weekly/Monthly Area/Equipment Preventative Maintenance Shutdowns and a Major 1-Day Maintenance Shutdown. REQUIRES MRO TO: Rolling Mills, Annealing Furnaces, Remelt Furnace, Separators, Spoolers, Welding Equipment, Cutting Equipment, Ladles, Feeders, Roll Stands, Coilers, Degassers, Tempering Equipment, Oven, Packaging/Shipping Equipment, Shears, Slitter, Doubler, Hydraulics, Conveyors (Belt, Enclosed), Flatteners, Feeders, Burners, Bins, Coilers & Decoilers, Overhead Cranes, Testing/Inspection Equipment, Compressors (Air), Lube Oil & Cooling Water System, Tanks (AST), Pumps, Pipings, Nozzles, Bearings, Meters, Sensors, Electrical Upgrades, Gauges, MCC, Motors, Drives plus Controls (PLC). ENVIRONMENTAL MRO: (A) Ventilation/Exhaust System, Scrubber, Baghouse, Dust Collectors, Ducting, Monitors; (L) Spill Containment.",Reynolds Consumer Products LLC continues with Maintenance Planning and Scheduling through 2Q26 (May). Reynolds Consumer Products LLC will release Equipment RFQs & Maintenance Subcontractor Bid Documents 1Q26 (Jan) - 3Q26. The Weekly/Bi-Weekly/Monthly Area/Equipment Preventative Maintenance Shutdowns Kick-Off 1Q26 (Jan). The 1-Day Maintenance Shutdown Kick-Off 2Q26 (May - First Saturday). Project Completion 4Q26 (Dec).,1024823,1079019,Reynolds Consumer Products LLC,22-May-25,,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=301077986,Medium (70-80%)
Industrial Manufacturing,1000000,USD,21-May-25,SEDALIA CRAFTSMAN TOOLBOX MFG PLANT ANNUAL 4Q26 MAINTENANCE S/D,"Maintenance Event (Outages, Turnarounds, Shutdowns)",Metal Stampings,"Stamping metal, for the trade-mfg",Stanley Black & Decker Incorporated,Operational,Metal Stampings,Sedalia Craftsman Toolboxes,Stanley Black & Decker Incorporated,1500 Waterloo Drive,Sedalia,MO,Missouri,U.S.A.,653011670,+1 6608260960,-93.247985,38.726784,MO*01,Midwest U.S.A.,1,,Pettis,Scheduled Maintenance,31-Dec-26,MONTH,"Stanley Black & Decker Incorporated performs Maintenance Plans & Scheduling for a Craftsman Toolbox Manufacturing Plant Annual 4Q26 Maintenance S/D. NORMAL INSP/REPAIR TO: 442,000 sqft Metal ToolBox Manufacturing Plant plus Supporting Equipment & Systems during 1-week S/D. REQUIRES MRO TO: Coil Slitting Operations, Furnaces, (4) Powder  Paint Booths, Paint Systems, Injection Molding Machines, (42) N/G fired  Infared Heaters, Washers, Dryoff Ovens, Dip Tanks, Coating Booths, Storage Tanks, 4.8 MMBTU/hr Dual-Fuel Coating Bake Oven, 5.25 MMBtu/hr Boiler,  Conveyors, Motors, Drives, Gears, Bearings, MCC plus Controls (PLC). ENVIRONMENTAL MRO: (A) Ventilation and Exhaust Systems, Ducting Fans.","Stanley Black & Decker Incorporated continues with Maintenance Plans & Scheduling through 4Q26 (Oct). Upon Finalization of Plans & Completion of Scheduling, Stanley Black & Decker Incorporated releases Equipment RFQ's & Bid Documents plus reviews & selects Subcontractors 4Q26 (Nov). The 1-week Annual Craftsman ToolBox Manufacturing Plant Maintenance S/D is tentatively scheduled to Kick-Off 4Q26 (Dec). Project Completion 4Q26 (Dec).",1034333,1519700,Stanley Black & Decker Incorporated,21-May-25,,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=301077471,Medium (70-80%)
"Pulp, Paper & Wood",2000000,USD,22-May-25,MASSILLON 2Q26 CORRUGATED MEDIUM PAPER MILL MAINTENANCE SHUTDOWN,"Maintenance Event (Outages, Turnarounds, Shutdowns)",Paperboard Mills,Chipboard (paperboard)-mitse-mfg,FiberCorr Mills,Operational,Paperboard Mills,Massillon Corrugated Medium Paper Mill,FiberCorr Mills,670 17th Street Northwest,Massillon,OH,Ohio,U.S.A.,446475343,+1 3308375151,-81.542085,40.801493,OH*02,Great Lakes U.S.A.,1,,Stark,Scheduled Maintenance,12-May-26,MONTH,"FiberCorr Mills plans 2Q26 Maintenance Shutdown of 225 T/d Corrugated Medium & Light-Weight Chip Board Paper Mill. INSPECTION/MRO TO: Cores, Chucks, Stock Preparation Area, OCC (Old Corrugated Container) Recycling System, (3) Pulpers (Black Clawson), (4) Refiners (Black Clawson), Screens (Black Clawson), Cleaners, Detrasher, Finishing Plant, Paper Machine (Black Clawson Fourdrinier, 117""Width, 105"" Trim, 750fpm), Natural Gas-Fired Power Boiler (100,000 lbs/hr, 600psi, 700F) plus Auxiliary Equipment/Systems. REQUIRES REPAIRS/REPLACEMENTS TO: Structural, Rolls, Tubing, Spouts, Fourdrinier, Suction Boxes, Vacuum System, Press, Forming Boards, Vats, Pumps, Pressure Screens, Steam Injection System, Plate Welding, Inlet/Outlet Nozzles, Air Evacuation Units, Heat Exchangers, Refractory, Thermocouples, Air/Steam/Water Lines, Gauges, Flowmeters, Hydraulics, Seals, Bearings, Flowmeters, Insulation/Coatings, Wire Drives, Motors, Sensors, Pneumatics plus Hydrocleaning. ENVIRONMENTAL MRO: (A) CEMS, Stacks, Vents, Baghouse, Scrubber, Dust Collection System, Ducting; (L) Liners, Spill Containment; (W) Wastewater Treatment System.",FiberCorr Mills continues Maintenance Planning and expects to Finalize Maintenance Schedule 4Q25 (Dec). FiberCorr releases RFQs and Bid Documents plus selects Local Contractors/Subcontractors to Supplement In-House Maintenance Crew 1Q26 (Jan-Mar). Maintenance Shutdown Kick-Off (5-6 Days) & Maintenance Shutdown Completion 2Q26 (May).,1009964,1045371,FiberCorr Mills,22-May-25,,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=301077961,Medium (70-80%)
Metals & Minerals,2000000,USD,22-May-25,MASON CITY CEMENT PLANT 2Q27 KILN/RAW MILL MAINTENANCE SHUTDOWN,"Maintenance Event (Outages, Turnarounds, Shutdowns)","Cement, Hydraulic","Cement, hydraulic: portland, natural, masonry, and pozzolana-mfg",Heidelberg Materials,Operational,"Cement, Hydraulic",Mason City Cement,Heidelberg Materials,700 25th Street Northwest,Mason City,IA,Iowa,U.S.A.,504019403,+1 6414213400,-93.212718,43.179004,IA*02,Midwest U.S.A.,1,,Cerro Gordo,Scheduled Maintenance,30-Apr-27,MONTH,"Heidelberg Materials plans Scheduled Maintenance for Mason City Cement Plant 2Q27 Kiln/Raw Mill Maintenance Shutdown. NORMAL INSPECTIONS/REPAIRS TO: 1MM T/yr Cement Plant during a 2-3-Week Kiln/Raw Mill Maintenance Shutdown. REQUIRES MRO TO: FLSmidth 3,200 T/d 3-Pier Dry Rotary Kiln (13' dia x 184' long), Refractory Re-Linings, Kiln Shell Repair, 150 T/hr Single String 4-Stage Preheater Tower/Calciner, (2) Vertical Roller Coal Grind Mills, 750 T/hr Primary Crusher, 450 T/hr Secondary Crusher, 150 T/hr 2-Drive Clinker Cooler with Hammer Crusher, Polysius Double Rotator Central Discharge Ball Raw Mill, Cyclones, Conveyors, Bucket Elevators, Feeders, Hoppers, Chutes, Screens, Burners, Stackers, Reclaimers, Material/Fuel Handling System, Truck/Rail Loadout System, Motors, Drives, Belts, Pipings, Bins, Communication & Fire Emergency System, Blending/Storage Silos, Tanks (AST), Compressors (Air), Gauges, Gears, Alkali Bypass System, Lightings, MCC, Pumps, Meters, Electrical Upgrade, Controls (PLC). ENVIRONMENTAL MRO TO: (A) Vent/Exhaust System, Ducting, Fans, Sensors, Dust Collectors/Suppression, Low NOx Burners, Membrane Fabric Filter, Pulse Jet Cleaning System Baghouses, Broken Bag Detectors, Stacks, Scrubbers, SNCR Unit, CEMs.",Heidelberg Materials performs Maintenance Planning & Scheduling 2Q25 (May) - 1Q27. Heidelberg Materials completes Engineering Specifications plus releases Equipment RFQs & Maintenance Subcontractor Bid Documents as needed to supplement in-house workforce 1Q27 (Feb). The 2-3-Week Kiln/Raw Mill Maintenance Shutdown scheduled to Kick-Off 2Q27 (Apr). Project Completion 2Q27 (Apr).,1520001,1077668,Heidelberg Materials,22-May-25,Cement Clinker,https://www.industrialinfo.com/dash/project_report.jsp?PROJECT_ID=301078009,Medium (70-80%)
